Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.43,0.0645,0.333955340197956,0.0582976820045112,0.930816380854496,0.862118300236887,0.253334470955628,1.35620497834462,0.0347175,20.2731542206368,0.00246888623481799,0.124552097422788
0.44,0.066,0.334477709748458,0.0560149711697795,0.935391021325101,0.866726038373146,0.249113969051661,1.38119574887854,0.03429,19.8996725727501,0.002550069725137,0.128141269483935
0.45,0.0675,0.33500007929896,0.0537322603350478,0.939965661795706,0.871333776509406,0.244893467147693,1.40618651941247,0.0338625,19.5261909248635,0.00262550350183002,0.131763740856866
0.46,0.069,0.335522448849462,0.0514495495003161,0.944540302266311,0.875941514645666,0.240672965243725,1.4311772899464,0.033435,19.1527092769768,0.00269431724062738,0.135419551187652
0.47,0.0705,0.336044818399965,0.0491668386655844,0.949114942736915,0.880549252781925,0.236452463339758,1.45616806048033,0.0330075,18.7792276290902,0.00275559942784163,0.139108739708055
0.48,0.072,0.336567187950467,0.0468841278308527,0.95368958320752,0.885156990918185,0.23223196143579,1.48115883101425,0.03258,18.4057459812035,0.00280839684349466,0.142831345235517
0.49,0.0735,0.337089557500969,0.044601416996121,0.958264223678125,0.889764729054444,0.228011459531822,1.50614960154818,0.0321525,18.0322643333168,0.00285171404770429,0.146587406173169
0.5,0.075,0.337611927051472,0.0423187061613893,0.96283886414873,0.894372467190704,0.223790957627855,1.53114037208211,0.031725,17.6587826854302,0.00288451287032935,0.150376960509827
0.51,0.0765,0.337761909381699,0.0409816759146854,0.963906536410627,0.896964982729142,0.22025644571329,1.5569730323927,0.0312905,17.3919334150269,0.00296523212420351,0.15355819903846
0.52,0.078,0.337911891711927,0.0396446456679816,0.964974208672523,0.899557498267581,0.216721933798725,1.5828056927033,0.030856,17.1250841446235,0.00304151955074368,0.156747383547946
0.53,0.0795,0.338061874042155,0.0383076154212777,0.96604188093442,0.902150013806019,0.213187421884161,1.60863835301389,0.0304215,16.8582348742202,0.0031128272892929,0.159944516443894
0.54,0.081,0.338211856372382,0.0369705851745738,0.967109553196317,0.904742529344457,0.209652909969596,1.63447101332449,0.029987,16.5913856038169,0.00317858856943415,0.163149600123942
0.55,0.0825,0.33836183870261,0.0356335549278699,0.968177225458214,0.907335044882896,0.206118398055032,1.66030367363508,0.0295525,16.3245363334136,0.00323821763893835,0.166362636977758
0.56,0.084,0.338511821032838,0.034296524681166,0.969244897720111,0.909927560421334,0.202583886140467,1.68613633394568,0.029118,16.0576870630103,0.00329110969184016,0.169583629387037
0.57,0.0855,0.338661803363065,0.0329594944344621,0.970312569982008,0.912520075959772,0.199049374225902,1.71196899425627,0.0286835,15.790837792607,0.00333664079664178,0.172812579725502
0.58,0.087,0.338811785693293,0.0316224641877582,0.971380242243905,0.915112591498211,0.195514862311338,1.73780165456686,0.028249,15.5239885222036,0.00337416782464473,0.176049490358911
0.59,0.0885,0.338961768023521,0.0302854339410543,0.972447914505802,0.917705107036649,0.191980350396773,1.76363431487746,0.0278145,15.2571392518003,0.0034030283784092,0.179294363645039
0.6,0.09,0.339111750353748,0.0289484036943504,0.973515586767698,0.920297622575088,0.188445838482208,1.78946697518805,0.02738,14.990289981397,0.00342254072034181,0.182547201933699
0.61,0.0915,0.338397927888704,0.0281307128039251,0.97179962631775,0.923019372460798,0.186158984150831,1.81598356192608,0.0269385,14.8100392973301,0.00349112703268246,0.185047159498519
0.62,0.093,0.337684105423659,0.0273130219134998,0.970083665867801,0.925741122346508,0.183872129819454,1.8425001486641,0.026497,14.6297886132632,0.00355524264677942,0.187530120992741
0.63,0.0945,0.336970282958614,0.0264953310230745,0.968367705417852,0.928462872232218,0.181585275488077,1.86901673540212,0.0260555,14.4495379291963,0.00361449826560048,0.189996082785146
0.64,0.096,0.336256460493569,0.0256776401326492,0.966651744967903,0.931184622117928,0.1792984211567,1.89553332214015,0.025614,14.2692872451293,0.00366849535285234,0.19244504153472
