Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.46,0.069,0.350235021068796,0.0311853449053868,0.968153105553036,0.63267871889397,0.126628865355226,1.72098861611776,0.033435,15.49484924229,0.0021051358765243,0.145771214417047
0.47,0.0705,0.352474503638993,0.0297097596146604,0.971898555703083,0.635019442289311,0.123216339554429,1.75310810101744,0.0330075,15.1302811583821,0.00213858277600315,0.149919468274267
0.48,0.072,0.35471398620919,0.028234174323934,0.97564400585313,0.637360165684652,0.119803813753633,1.78522758591713,0.03258,14.7657130744741,0.00216426414425453,0.154107079445685
0.49,0.0735,0.356953468779387,0.0267585890332076,0.979389456003178,0.639700889079994,0.116391287952837,1.81734707081681,0.0321525,14.4011449905662,0.00218142913132118,0.158333763703356
0.5,0.075,0.359192951349584,0.0252830037424812,0.983134906153225,0.642041612475336,0.11297876215204,1.8494665557165,0.031725,14.0365769066583,0.00218930334317697,0.162599230404738
0.51,0.0765,0.361267935556339,0.0244550204035053,0.983981735874717,0.64425050715813,0.110593994717344,1.88245644339176,0.0312905,13.7821019361296,0.00224055998764848,0.16638007198716
0.52,0.078,0.363342919763095,0.0236270370645295,0.98482856559621,0.646459401840924,0.108209227282648,1.91544633106702,0.030856,13.527626965601,0.00228777306359804,0.170177101067034
0.53,0.0795,0.36541790396985,0.0227990537255537,0.985675395317703,0.648668296523718,0.105824459847952,1.94843621874229,0.0304215,13.2731519950724,0.00233054771543709,0.173989980932036
0.54,0.081,0.367492888176606,0.0219710703865779,0.986522225039195,0.650877191206512,0.103439692413256,1.98142610641755,0.029987,13.0186770245438,0.00236848004657422,0.177818373624765
0.55,0.0825,0.369567872383361,0.0211430870476021,0.987369054760688,0.653086085889306,0.10105492497856,2.01441599409281,0.0295525,12.7642020540151,0.00240115730350693,0.181661939942747
0.56,0.084,0.371642856590117,0.0203151037086263,0.988215884482181,0.6552949805721,0.0986701575438636,2.04740588176808,0.029118,12.5097270834865,0.00242815806103115,0.185520339438428
0.57,0.0855,0.373717840796872,0.0194871203696505,0.989062714203673,0.657503875254894,0.0962853901091675,2.08039576944334,0.0286835,12.2552521129579,0.00244905240856863,0.18939323041918
0.58,0.087,0.375792825003627,0.0186591370306747,0.989909543925166,0.659712769937688,0.0939006226744713,2.1133856571186,0.028249,12.0007771424292,0.00246340213761239,0.193280269947304
0.59,0.0885,0.377867809210383,0.0178311536916989,0.990756373646659,0.661921664620482,0.0915158552397752,2.14637554479386,0.0278145,11.7463021719006,0.00247076093028954,0.197181113840016
0.6,0.09,0.379942793417138,0.0170031703527231,0.991603203368151,0.664130559303276,0.0891310878050791,2.17936543246913,0.02738,11.491827201372,0.00247067454904253,0.201095416669461
0.61,0.0915,0.381265153653494,0.0165102541209197,0.990914685256225,0.66748405521021,0.087711684314573,2.21299924841231,0.0269385,11.3154020367625,0.00251286304636523,0.204551173725386
0.62,0.093,0.382587513889849,0.0160173378891164,0.990226167144298,0.670837551117143,0.086292280824067,2.2466330643555,0.026497,11.138976872153,0.0025514564447745,0.20800775275958
0.63,0.0945,0.383909874126204,0.015524421657313,0.989537649032372,0.674191047024077,0.0848728773335609,2.28026688029869,0.0260555,10.9625517075435,0.00258618906713757,0.211464993914368
0.64,0.096,0.385232234362559,0.0150315054255096,0.988849130920445,0.677544542931011,0.0834534738430548,2.31390069624187,0.025614,10.786126542934,0.00261679084759459,0.214922737743211
0.65,0.0975,0.386554594598915,0.0145385891937063,0.988160612808519,0.680898038837944,0.0820340703525488,2.34753451218506,0.0251725,10.6097013783245,0.00264298743196394,0.218380825210706
0.66,0.099,0.38787695483527,0.0140456729619029,0.987472094696592,0.684251534744878,0.0806146668620427,2.38116832812825,0.024731,10.433276213715,0.00266450027780263,0.221839097692585
0.67,0.1005,0.389199315071625,0.0135527567300995,0.986783576584666,0.687605030651811,0.0791952633715366,2.41480214407143,0.0242895,10.2568510491055,0.00268104675412189,0.225297396975715
0.68,0.102,0.39052167530798,0.0130598404982962,0.986095058472739,0.690958526558745,0.0777758598810306,2.44843596001462,0.023848,10.080425884496,0.00269234024075818,0.228755565258104
0.69,0.1035,0.391844035544335,0.0125669242664928,0.985406540360813,0.694312022465678,0.0763564563905245,2.48206977595781,0.0234065,9.90400071988651,0.00269809022739883,0.232213445148886
0.7,0.105,0.393166395780691,0.0120740080346894,0.984718022248886,0.697665518372612,0.0749370529000185,2.51570359190099,0.022965,9.72757555527701,0.00269800241226353,0.235670879668338
0.71,0.1065,0.393753179441162,0.0117624967138723,0.981204360033166,0.702503145435696,0.0741340567919595,2.54975663952042,0.0225165,9.60291598733017,0.00272940504773864,0.238285691355218
0.72,0.108,0.394339963101633,0.0114509853930551,0.977690697817447,0.707340772498779,0.0733310606839005,2.58380968713986,0.022068,9.47825641938334,0.00275757991347052,0.240878537456392
